Title,Body,Labels,Assignee,Status
"راه‌اندازی پروژه Electron + React","Sprint 1 – Setup پایه و DevOps","devops","Mehr-Noor","Open"
"ایجاد Repo Git و Branching Strategy","Sprint 1 – Setup پایه و DevOps","devops","Mehr-Noor","Open"
"پیاده‌سازی Dockerfile برای سرویس‌ها","Sprint 1 – Setup پایه و DevOps","devops","Mehr-Noor","Open"
"استقرار نمونه microservice در Kubernetes Cluster","Sprint 1 – Setup پایه و DevOps","devops","Mehr-Noor","Open"
"راه‌اندازی GitHub Actions CI/CD","Sprint 1 – Setup پایه و DevOps","devops","Mehr-Noor","Open"
"استقرار resilient Kafka cluster با Strimzi","Sprint 2 – Kafka & InfluxDB Integration","backend","Mehr-Noor","Open"
"فعال‌سازی Schema Registry برای Kafka","Sprint 2 – Kafka & InfluxDB Integration","backend","Mehr-Noor","Open"
"استقرار InfluxDB برای داده‌های high-frequency","Sprint 2 – Kafka & InfluxDB Integration","backend","Mehr-Noor","Open"
"اتصال سرویس‌ها به Kafka و InfluxDB","Sprint 2 – Kafka & InfluxDB Integration","backend","Mehr-Noor","Open"
"Provision PostgreSQL برای داده‌های ساختاریافته","Sprint 3 – Data Storage & Security","database","Mehr-Noor","Open"
"Provision MongoDB برای لاگ‌ها و anomalyها","Sprint 3 – Data Storage & Security","database","Mehr-Noor","Open"
"ایجاد S3 bucket برای raw data lake","Sprint 3 – Data Storage & Security","database","Mehr-Noor","Open"
"تنظیم IAM roles / policies برای سرویس‌ها","Sprint 3 – Data Storage & Security","security","Mehr-Noor","Open"
"ذخیره connection strings در Kubernetes Secrets","Sprint 3 – Data Storage & Security","security","Mehr-Noor","Open"
"Build Flink validation service","Sprint 4 – Data Processing & Validation","data-processing","Mehr-Noor","Open"
"پیاده‌سازی model-based reconciliation algorithms","Sprint 4 – Data Processing & Validation","data-processing","Mehr-Noor","Open"
"پیاده‌سازی real-time validation rules engine","Sprint 4 – Data Processing & Validation","data-processing","Mehr-Noor","Open"
"Data routing logic برای classification","Sprint 4 – Data Processing & Validation","data-processing","Mehr-Noor","Open"
"آماده‌سازی و transform داده‌های clean برای ML","Sprint 5 – Data Transformation & ML Pipeline","ml","Mehr-Noor","Open"
"ایجاد pipeline برای feature selection, extraction & transformation","Sprint 5 – Data Transformation & ML Pipeline","ml","Mehr-Noor","Open"
"اعمال اصول MLOps و مدیریت چرخه عمر مدل‌ها","Sprint 5 – Data Transformation & ML Pipeline","ml","Mehr-Noor","Open"
"Prometheus/Grafana برای متریک‌ها و مانیتورینگ","Sprint 6 – Monitoring & Testing","monitoring","Mehr-Noor","Open"
"نوشتن تست‌های Unit, Integration, Performance با Pytest","Sprint 6 – Monitoring & Testing","testing","Mehr-Noor","Open"
"بهینه‌سازی سرویس‌ها و رفع bottleneckها","Sprint 6 – Monitoring & Testing","monitoring","Mehr-Noor","Open"
"Build predictive maintenance module for time-to-critical breach forecasting","Sprint 7 – Predictive Maintenance Module","predictive-maintenance","Mehr-Noor","Open"
"Identify Top 3 preventative actions for each prediction","Sprint 7 – Predictive Maintenance Module","predictive-maintenance","Mehr-Noor","Open"
"Build automated ML model lifecycle management including retraining, rollback, bias monitoring","Sprint 8 – ML Lifecycle & AI Governance","ml-lifecycle","Mehr-Noor","Open"
"Build AI Governance framework: fairness, explainability, bias detection","Sprint 8 – ML Lifecycle & AI Governance","ml-lifecycle","Mehr-Noor","Open"
"Set up central model artifact storage (S3/MLflow) and document metrics","Sprint 8 – ML Lifecycle & AI Governance","ml-lifecycle","Mehr-Noor","Open"
"ML Model Serving API with HPA and MLflow integration","Sprint 8 – ML Lifecycle & AI Governance","ml-lifecycle","Mehr-Noor","Open"
"Build real-time optimization service with multi-objective algorithm","Sprint 9 – Real-Time Optimization Service","real-time-optimization","Mehr-Noor","Open"
"Create /predict API endpoint for latest production-ready model","Sprint 9 – Real-Time Optimization Service","real-time-optimization","Mehr-Noor","Open"
"Connect prediction service to main data pipeline & Kafka","Sprint 9 – Real-Time Optimization Service","real-time-optimization","Mehr-Noor","Open"
"React.js application setup","Sprint 10 – React.js Dashboard & UI","frontend","Mehr-Noor","Open"
"Build React.js SPA dashboard for real-time monitoring & visualization","Sprint 10 – React.js Dashboard & UI","dashboard","Mehr-Noor","Open"
"Implement time-series charts & sub-second visualization from InfluxDB","Sprint 10 – React.js Dashboard & UI","dashboard","Mehr-Noor","Open"
"Develop RTO approval panel UI for set-point confirmation","Sprint 10 – React.js Dashboard & UI","dashboard","Mehr-Noor","Open"
"Backend service for consuming predictions and generating alerts","Sprint 11 – Alerting & Notification System","alerting","Mehr-Noor","Open"
"Publish alerts to Kafka topic when thresholds breached","Sprint 11 – Alerting & Notification System","alerting","Mehr-Noor","Open"
"Dashboard integration for real-time alert display","Sprint 11 – Alerting & Notification System","alerting","Mehr-Noor","Open"
"OpenFOAM simulation API endpoint","Sprint 12 – Simulation Integration","backend","Mehr-Noor","Open"
"Deploy integrated MVP to staging environment","Sprint 13 – MVP Deployment","devops","Mehr-Noor","Open"
"Conduct User Acceptance Testing (UAT)","Sprint 13 – MVP Deployment","testing","Mehr-Noor","Open"
"Collect and triage feedback into post-MVP issues","Sprint 13 – MVP Deployment","devops","Mehr-Noor","Open"
